accuracy,val_loss,val_accuracy,precision_6,val_precision_6,recall_6,val_recall_6,loss
0.8318127,0.25686776736687367,0.87423044,0.83970326,0.9930556,0.82051843,0.7539543,0.3512348552540885
0.9367924,0.10302140774740565,0.96218115,0.9536847,0.9550173,0.9182777,0.97012305,0.17466131139235722
0.95306146,0.10988593267467466,0.95954263,0.9619261,0.95637,0.9435413,0.96309316,0.129777462433743
0.9588875,0.07135490665917897,0.97185576,0.96629465,0.96213424,0.9510105,0.98242533,0.1089523855057109
0.9653732,0.07191861280096107,0.9656992,0.9663218,0.9584775,0.96441126,0.97363794,0.0921204255282642
0.9720787,0.059501659104518,0.9727353,0.97418356,0.9838129,0.96990335,0.96133566,0.08057977606202431
0.97108936,0.05733408187599253,0.9780123,0.97183716,0.97887325,0.9703427,0.9771529,0.07947068721748009
0.97394747,0.05476555590659954,0.97889185,0.9724108,0.98747766,0.97561514,0.97012305,0.07825358542341146
0.9771353,0.14588718005460374,0.94635004,0.9734089,0.9810606,0.98110723,0.9103691,0.058811922609312485
0.9784544,0.08719159280491338,0.9656992,0.9767951,0.9600694,0.9802285,0.9718805,0.05885191663656146
