loss,accuracy,recall,val_recall,precision,val_precision,val_accuracy,val_loss
0.40978181026055427,0.81938326,0.77386403,0.9519774,0.8515504,0.7641723,0.829096,0.35438941848480093
0.25326903085351515,0.89480174,0.8830574,0.9519774,0.9044012,0.8488665,0.8912429,0.24879745322432223
0.19292213578843861,0.92687225,0.9084185,0.9661017,0.9433065,0.9023747,0.93079096,0.17611038154464656
0.15321685919152483,0.94202644,0.9327228,0.9491525,0.95046663,0.973913,0.9618644,0.11598699604092681
0.13042948116289887,0.9536564,0.94646,0.9576271,0.9603288,0.9826087,0.970339,0.10545931760705797
0.09902618211796631,0.96563876,0.96266294,0.9491525,0.9684621,0.99115044,0.970339,0.09599680425125663
0.08665738404519233,0.96951544,0.9633674,0.9745763,0.9753923,0.9530387,0.96327686,0.09645101122129288
0.07481319848070586,0.9730396,0.9693554,0.9519774,0.9765791,0.9882698,0.970339,0.09195511691840523
0.07113951531013203,0.972511,0.97182107,0.96045196,0.9731922,0.9883721,0.9745763,0.07270082080536812
0.057034765978073006,0.97920704,0.9767524,0.980226,0.9815929,0.9532967,0.9661017,0.06704612062273199
0.06196137168333919,0.9763877,0.9753434,0.96045196,0.9774091,0.96866095,0.96468925,0.07795632150192551
0.0503631119528531,0.9827313,0.98379713,0.96892655,0.9817223,0.98,0.9745763,0.05973030210441073
0.05205078762861601,0.9814978,0.98344487,0.9519774,0.9796491,0.9882698,0.970339,0.07660479708127467
0.043028576153818734,0.9844934,0.98591053,0.9745763,0.9831402,0.9773371,0.9759887,0.06774395806116373
0.036448440888018595,0.9876652,0.98908067,0.9661017,0.98630136,0.9688385,0.9675141,0.07243809153787571
0.03678543131083603,0.9859031,0.98767173,0.98870057,0.984205,0.9695291,0.9788136,0.05268885005652868
0.03606122308876365,0.9876652,0.98696727,0.96892655,0.9883598,0.97720796,0.97316384,0.065097468087695
0.035338896110752346,0.9880176,0.9883762,0.9322034,0.9876804,0.9969789,0.96468925,0.09050513216415039
0.03561074042700986,0.98555064,0.98731947,0.9745763,0.983854,0.98571426,0.980226,0.05003624678232944
0.029422215411464156,0.98872244,0.9901374,0.98870057,0.9873551,0.9776536,0.9830508,0.04318842119453435
0.032003689683104006,0.9906608,0.99189854,0.98870057,0.9894589,0.98870057,0.98870057,0.03683999892160438
0.022389404130279032,0.9922467,0.99330753,0.9745763,0.99121267,0.9745763,0.9745763,0.06311609087732889
0.026644153800928383,0.9911894,0.992603,0.9830508,0.98981386,0.96666664,0.9745763,0.05898868675791102
0.020800364905443156,0.9924229,0.99330753,0.96892655,0.9915612,0.98847264,0.9788136,0.05209718555039412
0.02160234068895768,0.9925991,0.992603,0.9830508,0.992603,0.9586777,0.970339,0.0802193059568559
0.02599842813620877,0.990837,0.99189854,0.99717516,0.98980665,0.9489247,0.9717514,0.07008732913381707
0.020507962697448152,0.99312776,0.992603,0.99435025,0.99365306,0.94878703,0.970339,0.05568011010329253
0.025269761093182384,0.9913656,0.99154633,0.98870057,0.99119717,0.93582886,0.96045196,0.10385313643685852
0.01698546279851544,0.99418503,0.99506867,0.980226,0.9933193,0.98300284,0.98163843,0.047476854767859226
0.01738503717755825,0.9934802,0.9943642,0.9915254,0.99261606,0.96694213,0.9788136,0.07787031537828486
0.0199948398614331,0.99312776,0.9943642,0.9745763,0.9919185,0.99710983,0.9858757,0.04478385646376862
0.014633413650898895,0.99488986,0.9943642,0.9915254,0.9954161,0.98044693,0.9858757,0.03506154865034066
0.013897927825001688,0.9954185,0.99577314,0.99435025,0.9950722,0.93121696,0.96045196,0.10087400287440974
0.024823650410993738,0.9911894,0.99119407,0.9717514,0.99119407,0.96358544,0.9675141,0.09122875222486863
0.012075240834162771,0.9959471,0.9961254,0.98870057,0.9957746,0.9641873,0.9759887,0.06064835387444817
0.013993453950133858,0.9952423,0.99577314,0.9915254,0.994722,0.98044693,0.9858757,0.04603308778132069
0.021406190344042734,0.9920705,0.99154633,0.99435025,0.9925952,0.96703297,0.980226,0.060867460136176374
0.008219948764875046,0.99647576,0.99682987,0.9830508,0.99612814,0.9747899,0.9788136,0.0894645915334401
0.016892704673835572,0.9936564,0.99365973,0.97740114,0.99365973,0.98295456,0.980226,0.06542558051697304
0.01647914939449094,0.9943612,0.99506867,0.9576271,0.9936687,0.9854651,0.9717514,0.07705359393374156
0.009178741805276952,0.9970044,0.9982388,0.99717516,0.99578357,0.9724518,0.9844633,0.04943339182256678
0.012744180765172204,0.99400884,0.99330753,0.97740114,0.994709,0.9746479,0.9759887,0.07803035129114765
0.012367555188058182,0.9961234,0.99682987,0.99717516,0.99542737,0.9592391,0.97740114,0.06780979516006724
0.006003914515668371,0.99806166,0.99859107,0.96327686,0.99753696,0.98554915,0.9745763,0.09867340864119226
0.020956169678188558,0.9938326,0.9943642,0.9915254,0.99331456,0.98044693,0.9858757,0.042958458848213366
0.007659039650934734,0.99788547,0.99718213,0.99717516,0.99858904,0.9644809,0.980226,0.07040611162141441
0.01589554265637919,0.9945375,0.9943642,0.9830508,0.99471456,0.9858357,0.9844633,0.048731763446049126
0.009191443237823758,0.9961234,0.9964776,0.9830508,0.9957761,0.9639889,0.97316384,0.08077743256533743
0.007660906410210413,0.9982379,0.9982388,0.99435025,0.9982388,0.95392954,0.97316384,0.0842149263043513
0.01577464624765105,0.99471366,0.9943642,0.97740114,0.9950652,0.98295456,0.980226,0.045317913742455807
