accuracy,recall_2,val_loss,val_accuracy,val_precision_2,loss,precision_2,val_recall_2
0.87248546,0.8725835,0.16538118471159077,0.9366755,0.971537,0.308553312857937,0.8725835,0.89982426
0.934374,0.9202548,0.12336185987652501,0.9542656,0.97085613,0.17840933268151649,0.94709474,0.9367311
0.95515007,0.9463972,0.13180453422346752,0.9656992,0.9665493,0.13439162742766067,0.96332735,0.9648506
0.959657,0.94859403,0.08073858424627803,0.96745825,0.9699647,0.115591373983518,0.97011906,0.9648506
0.96471363,0.9597979,0.07225770777603492,0.97361475,0.97530866,0.09932859381941396,0.969381,0.9718805
0.96911067,0.96441126,0.25460399227204156,0.8927001,0.9912088,0.08953891261124221,0.9736083,0.79261863
0.97042984,0.9677065,0.06487335115821347,0.98065084,0.98236334,0.08332934547833289,0.9730506,0.9789104
0.9741673,0.97144115,0.0822264291162982,0.9744943,0.97202796,0.07470062600058998,0.9768058,0.9771529
0.9766956,0.9745167,0.06623804856430546,0.97361475,0.9654577,0.06399899974880995,0.9788173,0.98242533
0.9752666,0.97231984,0.06467991767838144,0.9797713,0.9840425,0.06893991505750348,0.9781215,0.97539544
