precision_1,val_precision_1,accuracy,recall_1,loss,val_accuracy,val_loss,val_recall_1
0.8730755,0.99346405,0.8498678,0.81895036,0.3475226955808338,0.92655367,0.2262670517304523,0.8587571
0.95658517,0.9247312,0.940793,0.9235646,0.16794062201384996,0.9463277,0.14400428394184547,0.9717514
0.9621758,0.9882006,0.9518943,0.9408242,0.12936111739436615,0.9675141,0.09721890136278885,0.9463277
0.9684588,0.9939577,0.9603524,0.95174354,0.11484077152968405,0.9618644,0.10322268316041712,0.9293785
0.9704416,0.93972605,0.9652863,0.959845,0.09317662058554016,0.9533898,0.09358224343409578,0.96892655
0.97318554,0.97947216,0.9661674,0.95878834,0.0883267649936785,0.9618644,0.08440560672333534,0.94350284
0.9754885,0.9882006,0.9714537,0.967242,0.07054192640171897,0.9675141,0.08131006847006346,0.9463277
0.9780142,1.0,0.9748018,0.9714688,0.07309500771312613,0.97316384,0.07063494930411188,0.9463277
0.9819085,0.9204244,0.9785022,0.9749912,0.059694072118425874,0.94774014,0.10851596951392231,0.980226
0.97993666,0.97151,0.9802643,0.980627,0.05028514106420617,0.9675141,0.07691043115399597,0.96327686
0.9816966,0.9883721,0.98202646,0.98238814,0.05326756475130544,0.9745763,0.06149595926692128,0.96045196
0.98446876,0.95988536,0.9834361,0.98238814,0.043097528777140806,0.9533898,0.11806023982322174,0.9463277
0.9855887,0.9826087,0.9866079,0.98767173,0.04166948523929421,0.970339,0.07226026147374176,0.9576271
0.988368,0.97214484,0.9880176,0.98767173,0.034085575415664635,0.9788136,0.06928922868853417,0.9858757
0.9866573,0.9801136,0.9881938,0.98978513,0.03241227886922907,0.97740114,0.06133199576683164,0.9745763
0.9849176,0.97421205,0.98696035,0.98908067,0.037292874149849956,0.9675141,0.06984585733505848,0.96045196
0.98458844,0.982808,0.9873128,0.9901374,0.038658478112426196,0.9759887,0.07942945496185289,0.96892655
0.98593533,0.99135447,0.98678416,0.98767173,0.0346925059400815,0.98163843,0.04771192448660609,0.9717514
0.9827889,0.99130434,0.984141,0.9855583,0.03929388624307931,0.9788136,0.0799191390535534,0.9661017
0.9901512,0.9748603,0.990837,0.99154633,0.025208419471352415,0.980226,0.05250525857015643,0.9858757
0.9904997,0.99142855,0.9910132,0.99154633,0.025944946056810605,0.9858757,0.037146319149640304,0.980226
0.99050635,0.9884058,0.9913656,0.9922508,0.026726083023282138,0.9759887,0.05172775958120447,0.96327686
0.989821,0.96132594,0.99154186,0.99330753,0.02155642689785594,0.9717514,0.07918885050635122,0.9830508
0.99048626,0.98870057,0.99030834,0.9901374,0.025554099049447252,0.98870057,0.03148349558025438,0.98870057
0.99157304,0.97720796,0.99312776,0.99471647,0.019700157359915035,0.97316384,0.08118754748926009,0.96892655
