recall_2,accuracy,val_precision_2,precision_2,loss,val_accuracy,val_recall_2,val_loss
0.8390278,0.8459912,0.97553515,0.85101825,0.3517255043110396,0.93926555,0.90112996,0.18958501533557803
0.91123635,0.93303967,0.99038464,0.9528545,0.1933718196383066,0.9322034,0.87288135,0.15774480908676505
0.9387108,0.95612335,0.9937304,0.97262776,0.1254793680468133,0.94491524,0.8954802,0.12562898409696555
0.9471645,0.95929515,0.9716714,0.97075814,0.10643790434320413,0.970339,0.96892655,0.0871030126806979
0.96090174,0.9677533,0.96100277,0.9742857,0.09028496768163766,0.9675141,0.9745763,0.07389439602368249
0.9661853,0.96951544,0.93495935,0.97269505,0.08107193386817986,0.9533898,0.9745763,0.10222317521666067
0.9714688,0.97356826,0.9714286,0.9755925,0.07068895542358729,0.9661017,0.96045196,0.07534791090031825
0.97992253,0.97938323,0.9765396,0.9788881,0.05386759538348933,0.95903957,0.94067794,0.1066044507261622
0.9728778,0.9746255,0.98567337,0.9763167,0.0685904696131741,0.9788136,0.9717514,0.058881114971855886
0.98133147,0.98237884,0.97421205,0.9834098,0.04863943266836059,0.9675141,0.96045196,0.0973266400189883
0.9848538,0.985022,0.9771429,0.9852008,0.03994572761873611,0.9717514,0.9661017,0.06867978055331571
0.98344487,0.9834361,0.97214484,0.98344487,0.04408375716683037,0.9788136,0.9858757,0.05115662888007125
0.98767173,0.9864317,0.97214484,0.9852424,0.04037143628732896,0.9788136,0.9858757,0.044794277712926094
0.98908067,0.98837006,0.9661972,0.9876891,0.0313270399617943,0.9675141,0.96892655,0.07507508923096413
0.9894329,0.9890749,0.9773371,0.98873633,0.03025129342699643,0.9759887,0.9745763,0.06445498563332168
0.99189854,0.9904846,0.984375,0.98911136,0.02409490824888064,0.9378531,0.8898305,0.1808477119200804
0.98908067,0.98872244,0.9744318,0.98838437,0.032761446094772224,0.9717514,0.96892655,0.06249602506197802
0.98520607,0.98555064,0.97720796,0.9859006,0.04076071940622511,0.97316384,0.96892655,0.06667386481699208
0.9887284,0.98696035,0.9716714,0.985258,0.04095072916224859,0.970339,0.96892655,0.059834149149804575
0.9904896,0.98995596,0.9942857,0.9894441,0.02566901210786145,0.98870057,0.9830508,0.028090228951224577
0.99542093,0.9943612,0.9747191,0.9933216,0.017215260950900778,0.97740114,0.980226,0.051723238390269655
0.9887284,0.987489,0.9485095,0.98629653,0.033342180342908166,0.9675141,0.98870057,0.12740395886386197
0.99365973,0.99189425,0.96944445,0.99017197,0.023421150858767312,0.97740114,0.9858757,0.07402577468391706
0.9964776,0.9934802,0.97229916,0.9905462,0.016050160792237932,0.98163843,0.9915254,0.0730200980596699
0.9961254,0.99577093,0.9436997,0.99542415,0.011273057439300474,0.9675141,0.99435025,0.10796228980980292
0.99471647,0.9927753,0.982906,0.9908772,0.023462428223214173,0.9788136,0.9745763,0.0819766893371031
0.99295527,0.9922467,0.9941349,0.9915582,0.026219384903404055,0.9759887,0.9576271,0.07078210355694975
0.99577314,0.9952423,0.98300284,0.994722,0.016291449147679295,0.98163843,0.980226,0.0730142452686841
0.99365973,0.9929515,0.982808,0.9922617,0.02013129521087226,0.9759887,0.96892655,0.06411328028100584
0.992603,0.9925991,0.98,0.992603,0.02241889080172407,0.9745763,0.96892655,0.06909029910077003
0.9943642,0.9938326,0.96910113,0.99331456,0.018588271281875977,0.9717514,0.9745763,0.12876632813657088
0.99577314,0.9943612,0.97740114,0.99297506,0.01667557045918927,0.97740114,0.97740114,0.09859077342606823
0.9964776,0.99647576,0.982808,0.9964776,0.01233054272081879,0.9759887,0.96892655,0.1263781938758205
0.99542093,0.9954185,0.98575497,0.99542093,0.014082233145329793,0.98163843,0.97740114,0.08105337468746568
0.99506867,0.9945375,0.97759104,0.9940183,0.016720688606490144,0.98163843,0.9858757,0.052213650244445
0.9978866,0.9970044,0.9859155,0.9961322,0.008900131974912908,0.9872881,0.98870057,0.07498118080973379
0.99894327,0.9985903,0.96428573,0.99824005,0.004085427558343637,0.97740114,0.9915254,0.14452906551733635
0.99330753,0.9929515,0.982808,0.99260825,0.028392368599702268,0.9759887,0.96892655,0.07769376002430027
0.99506867,0.9950661,0.97740114,0.99506867,0.014677552985357684,0.97740114,0.97740114,0.1146931650307509
0.99718213,0.9959471,0.9774648,0.99472946,0.010701427020105823,0.9788136,0.980226,0.13477044508311542
0.99189854,0.9913656,0.9856322,0.9908515,0.024370818304583937,0.97740114,0.96892655,0.09224111384550407
0.99084187,0.99030834,0.9942363,0.9897959,0.029473166065426663,0.9844633,0.9745763,0.038857175197401596
0.9961254,0.9968282,0.98579544,0.9975309,0.008652236707676241,0.9830508,0.980226,0.08028388205519894
0.99718213,0.9968282,0.99130434,0.9964801,0.008375721298607938,0.9788136,0.9661017,0.06625456066307596
0.99753433,0.99735683,0.98847264,0.9971831,0.00643959954411475,0.9788136,0.96892655,0.06541900065925275
