val_recall_3,accuracy,precision_3,recall_3,val_accuracy,loss,val_precision_3,val_loss
0.9507909,0.8718259,0.8968589,0.84050965,0.9322779,0.2978908986193496,0.91694915,0.2389279435845403
0.9543058,0.94140923,0.95045954,0.9314587,0.97185576,0.1574382014313914,0.989071,0.08378392307164298
0.92618626,0.958228,0.9627329,0.9534271,0.95866317,0.10942018087483227,0.9906015,0.09904116606459885
0.9876977,0.96680224,0.9711752,0.9622144,0.9771328,0.09317055082523638,0.96729773,0.06364151098983449
0.9666081,0.97185886,0.9718805,0.9718805,0.9771328,0.07875535165687614,0.98743266,0.06104241207923369
0.97539544,0.97515666,0.9770622,0.9731986,0.97889185,0.06690748056766836,0.9823009,0.05091349026641659
0.9578207,0.9779048,0.9784473,0.9773726,0.9744943,0.057346953035839476,0.9909091,0.06099824682788985
0.97363794,0.9797736,0.98,0.97956944,0.97361475,0.05695950976051409,0.97363794,0.06550351812137103
0.98242533,0.9819721,0.9807187,0.983304,0.9841689,0.047795158210961676,0.9858906,0.04084404151131972
0.9859402,0.9816423,0.9813392,0.9819859,0.98328936,0.04929944212809225,0.9807692,0.04343370324257023
