precision_7,accuracy,val_loss,val_accuracy,val_precision_7,loss,recall_7,val_recall_7
0.85296184,0.8310432,0.15145119660939474,0.941073,0.9665428,0.35888593718608147,0.8003076,0.913884
0.9556875,0.9382214,0.10291897009630797,0.95866317,0.9677419,0.16532874181763246,0.91915643,0.9490334
0.9645342,0.9546004,0.0819316313953123,0.97097623,0.9785714,0.12856197549523918,0.9439807,0.96309316
0.97045755,0.96526325,0.08404873688696186,0.96921724,0.96842104,0.09803862174054008,0.9597979,0.97012305
0.97190887,0.96867096,0.06284401582801474,0.9771328,0.98743266,0.08692208890324075,0.96529,0.9666081
0.9764421,0.9753765,0.07367863676936731,0.97097623,0.97017545,0.06807006174811654,0.974297,0.9718805
0.9727652,0.9728482,0.05500618453964567,0.97889185,0.9823009,0.07506508924013137,0.9729789,0.97539544
0.9801893,0.9792239,0.07384056790922196,0.98328936,0.98758864,0.061580705401080627,0.97825134,0.9789104
0.98199385,0.9821919,0.034391339775886355,0.9859279,0.98938054,0.050446559535472536,0.98242533,0.98242533
0.98001754,0.9802133,0.04851028284598696,0.98065084,0.9707401,0.053451868079242744,0.9804481,0.99121267
