loss,val_accuracy,recall_2,precision_2,val_precision_2,val_loss,val_recall_2,accuracy
0.31894306950633033,0.9023747,0.8721441,0.84919786,0.98723406,0.2469099101542249,0.81546575,0.8585248
0.1565233718272558,0.9507476,0.935413,0.94580185,0.9369676,0.13039401073636067,0.9666081,0.9408596
0.14523545183965736,0.9727353,0.9382689,0.95101315,0.9686411,0.08275965833894165,0.9771529,0.9449269
0.09897539200020407,0.9613017,0.9597979,0.96766335,0.9518072,0.09343562317973304,0.9718805,0.9638342
0.08901332284518061,0.98065084,0.9633128,0.96735054,0.98579043,0.05518172539053499,0.97539544,0.9653732
0.0703776469428214,0.98328936,0.9703427,0.97721237,0.9910714,0.05110819545566143,0.97539544,0.97383755
0.07470950569067748,0.9797713,0.9703427,0.9716234,0.9927798,0.051990068024528775,0.9666081,0.97097945
0.059346382593881836,0.97185576,0.9786907,0.9765454,0.980322,0.079041825617937,0.96309316,0.977575
0.055540381921863335,0.9859279,0.97913,0.97913,0.9876543,0.03709008480928808,0.9841828,0.979114
0.049926581327556965,0.9868074,0.98088753,0.98067206,0.99113476,0.05662122426308424,0.98242533,0.9807629
