precision_5,accuracy,recall_5,val_loss,val_accuracy,val_recall_5,val_precision_5,loss
0.82443553,0.8376388,0.858304,0.21825960409314607,0.93491644,0.97539544,0.902439,0.35589389604314337
0.90032154,0.91019017,0.9226714,0.11391597827812272,0.95954263,0.9314587,0.98696464,0.21486483648560864
0.91136557,0.9261295,0.94420034,0.08283222504307139,0.9683377,0.9718805,0.965096,0.1740488094442174
0.96762425,0.95053315,0.93233746,0.08309630423473201,0.9727353,0.97539544,0.9702797,0.1322116464165566
0.96481735,0.95273167,0.9398067,0.06168388543593342,0.97097623,0.97012305,0.97183096,0.12283027485271529
0.9708013,0.9569089,0.9422232,0.06375383314369353,0.9762533,0.9771529,0.9754386,0.09720740573561087
0.97666514,0.9621853,0.94705623,0.05349127877000764,0.97889185,0.9771529,0.98059964,0.09163762051130536
0.97702944,0.96988016,0.9624341,0.04351767722452775,0.97889185,0.97012305,0.98747766,0.07728449451318087
0.9693078,0.9736177,0.97825134,0.05559297886543052,0.9780123,0.97539544,0.98056537,0.076932004724236
0.9655844,0.9725184,0.9800088,0.08306146523793435,0.9753738,0.9648506,0.98563737,0.06961422657074771
