val_precision,accuracy,val_loss,val_accuracy,recall,precision,loss,val_recall
0.0,0.49367923,0.6943662991004166,0.49956024,0.43980667,0.49334648,0.6932181722451871,0.0
0.50043976,0.50115424,0.6943659727937936,0.50043976,0.3266696,0.5023649,0.6931575262325078,1.0
0.50043976,0.4964274,0.6943614793997029,0.50043976,0.84995604,0.49813312,0.693214686097477,1.0
0.0,0.4977465,0.6943761883385362,0.49956024,0.8776362,0.49893844,0.6932239721171788,0.0
0.50043976,0.49389908,0.694364701612134,0.50043976,0.39630932,0.49289617,0.6932202305415835,1.0
0.50043976,0.49521822,0.6943600222808824,0.50043976,0.322935,0.49328858,0.6932043901010831,1.0
0.0,0.49554798,0.6943721940940629,0.49956024,0.84907734,0.49761814,0.6932132620136332,0.0
0.0,0.49994504,0.6943785164812957,0.49956024,0.58655536,0.50028104,0.693197195950846,0.0
0.0,0.49334946,0.6943836996760645,0.49956024,0.48769772,0.49366245,0.6932189656349673,0.0
0.0,0.49906564,0.694365417077378,0.49956024,0.392355,0.49930108,0.6932079540421259,0.0
